[2024-09-06T16:14:22.589+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-06T16:14:22.598+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:14:21.604967+00:00 [queued]>
[2024-09-06T16:14:22.603+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:14:21.604967+00:00 [queued]>
[2024-09-06T16:14:22.603+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 4
[2024-09-06T16:14:22.610+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): backfill_number_of_cancelled_candidates> on 2024-09-06 16:14:21.604967+00:00
[2024-09-06T16:14:22.614+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2042) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-06T16:14:22.979+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81f6: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.979+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81f8: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.979+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81fa: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.979+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81fc: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.979+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81fe: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.979+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8200: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.979+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8202: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.980+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8204: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.980+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8206: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.980+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8208: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.980+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e820a: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.980+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e820c: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.980+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e820e: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.980+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8210: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.980+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8212: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8214: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8216: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8218: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e821a: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e821c: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e821e: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8220: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8222: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8224: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.981+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8226: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.982+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8228: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.982+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e822a: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.982+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e822c: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.982+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e822e: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
